package	version	source-package	aports-commit	license	upstream
alpine-baselayout	3.7.2-r1	alpine-baselayout	60a7585bbab2fa0f762504eb617dbca90216e31f	GPL-2.0-only	https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/main/alpine-baselayout
alpine-baselayout-data	3.7.2-r1	alpine-baselayout	60a7585bbab2fa0f762504eb617dbca90216e31f	GPL-2.0-only	https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/main/alpine-baselayout
alpine-keys	2.6-r0	alpine-keys	b9f23becced4d7b3ccc0fa0f28530243ccd314a0	MIT	https://alpinelinux.org
alpine-release	3.24.0-r0	alpine-base	d0f20bc945eabe7bac39a6ee168be84046f27875	MIT	https://alpinelinux.org
apk-tools	3.0.6-r0	apk-tools	1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912	GPL-2.0-only	https://gitlab.alpinelinux.org/alpine/apk-tools
busybox	1.37.0-r31	busybox	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	GPL-2.0-only	https://busybox.net/
busybox-binsh	1.37.0-r31	busybox	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	GPL-2.0-only	https://busybox.net/
ca-certificates-bundle	20260413-r0	ca-certificates	094ed099dd0459a7e148a9c25a626e8cf93ecf07	MPL-2.0 AND MIT	https://www.mozilla.org/en-US/about/governance/policies/security-group/certs/
libapk	3.0.6-r0	apk-tools	1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912	GPL-2.0-only	https://gitlab.alpinelinux.org/alpine/apk-tools
libcrypto3	3.5.6-r0	openssl	4af905259a14e3b7929241c8dc47e629d16dbe08	Apache-2.0	https://www.openssl.org/
libgcc	15.2.0-r5	gcc	423a8ad043d07f2c7546c8ec3e2b0384cda360ae	GPL-2.0-or-later AND LGPL-2.1-or-later	https://gcc.gnu.org
libssl3	3.5.6-r0	openssl	4af905259a14e3b7929241c8dc47e629d16dbe08	Apache-2.0	https://www.openssl.org/
libstdc++	15.2.0-r5	gcc	423a8ad043d07f2c7546c8ec3e2b0384cda360ae	GPL-2.0-or-later AND LGPL-2.1-or-later	https://gcc.gnu.org
musl	1.2.6-r2	musl	f5640d3a10f664c9119720c60515265d3d6f6d01	MIT	https://musl.libc.org/
musl-utils	1.2.6-r2	musl	f5640d3a10f664c9119720c60515265d3d6f6d01	MIT AND BSD-2-Clause AND GPL-2.0-or-later	https://musl.libc.org/
scanelf	1.3.9-r1	pax-utils	c61801eeacb3ffcd9c2025b09e402153bb93fb39	GPL-2.0-only	https://wiki.gentoo.org/wiki/Hardened/PaX_Utilities
ssl_client	1.37.0-r31	busybox	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	GPL-2.0-only	https://busybox.net/
zlib	1.3.2-r0	zlib	f248b33b5943c7dc69bf691031d7612ab2e8ed93	Zlib	https://zlib.net/
